Index	Queue	Material	Pass	Shader	Mesh	SubMesh	IndexCount	BaseIndex	BaseVertex
86	2000	00000219E3F5B2C0	0	19	2	0	1266	67680	16951
	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
98	2000	00000219E3F5B2C0	0	19	2	0	1266	73482	18267
	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
110	2000	00000219E3F5B2C0	0	19	2	0	1266	76320	18895
	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
122	2000	00000219E3F5B2C0	0	19	2	0	1266	78696	19415
	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
134	2000	00000219E3F5B2C0	0	19	2	0	1266	80712	19861
	2000	00000219E3F5B2C0	0	19	2	0	1266	86514	21196
	2000	00000219E3F5B2C0	0	19	2	0	1266	86514	21196
	2000	00000219E3F5B2C0	0	19	2	0	1266	86514	21196
	2000	00000219E3F5B2C0	0	19	2	0	1266	86514	21196
	2000	00000219E3F5B2C0	0	19	2	0	1266	86514	21196
	2000	00000219E3F5B2C0	0	19	2	0	1266	86514	21196
	2000	00000219E3F5B2C0	0	19	2	0	1266	86514	21196
	2000	00000219E3F5B2C0	0	19	2	0	1266	86514	21196
	2000	00000219E3F5B2C0	0	19	2	0	1266	86514	21196
	2000	00000219E3F5B2C0	0	19	2	0	1266	86514	21196
	2000	00000219E3F5B2C0	0	19	2	0	1266	86514	21196
